cluster,geo_id,StartTime,EndTime,Lon.50.,Lon.2.5.,Lon.97.5.,Lat.50.,Lat.2.5.,Lat.97.5.,sitenum,duration,period,geo.id2,band.id,animal.id,animal.taxon,deploy.on.date,deploy.on.time_GMT,deploy.off.date,deploy.off.time,lig.estimated.deploy.day,lig.estimated.recovery.day,animal.latest.date.born,animal.life.stage,Age.status,Wing.cord.mm,animal.mass,animal.sex,animal.taxon.detail,attachment.type,deploy.latitude,deploy.longitude,recovery.latitude,recovery.longitude,deployment.comments,deployment.end.type,manipulation.type,study.site,deploy.range,tag.comments,study.site.specification,tag.manufacturer.name,tag.mass,tag.model,tag.readout.method,tag.serial.no,Study,preliminary_analysis,recording_interval_seconds,light_threshold,Time_shift_hours,Recorded_North_South_mig,Light_Data_Available,Time_shift,In_habitat_median_zenith_angle,Hill_Ekstrom_median_angle,tol,MCMC.iter,MCMC.thin,MCMC.chains,changeLight.days,changelight.quantile,mergesites.distance,stat.nbr.limit,path.elongated,Insert_twilights,Range_region,Fall_carrib_edits,Clock_drift_edits,mod.deploy.lon,mod.deploy.lat,nbr.arrival,nbr.departure,spring.equinox.year,spring.equinox.date,Recaptured,IH.calib.start,IH.calib.end,IH.calib.start2,IH.calib.end2,Zenith0_adjustment,br.departure,br.arrival,br.departure.woodsworth,br.arrival.woodsworth,nbr.arrival.woodsworth,nbr.departure.woodsworth,X,First.trans.flight.start,first.trans.flight.start,First.trans.flight.start.1,first.trans.flight.start.1,light.review.quality,Breeding_region_MC,site_type,IQR.lon.dist,IQR.lat.dist,fall.br.departure,spring.br.arrival,NB_count,year.difference,NB.first.site.arrival,id,sorted.num,next.cluster
2,3254_003,2016-08-29T03:06:30Z,2016-08-31T13:07:00Z,-120.23850137306349,-123.66448802977261,-116.96084957279719,55.041100627581656,53.09437742394549,59.05533105652203,4,2.4170138888888886,Post-breeding migration,,2740-82914,NA,Setophaga,2016-06-14,15:48:00,2016-12-19,NA,2016-06-14,2016-12-19,,AHY,Adult,79,13.44,Male,striata,harness,64.82774,-163.71794,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,South,Yes,No,91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-23,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-12T04:00:00Z,NA,NA,1,NA,NA,2016-08-15 0:00,NA,2016-10-27,NA,NA,,,,,,Northwestern Region,Stopover,427426.4191927094,663570.3230207354,2016-08-17T07:23:00Z,NA,NA,0,2016-10-23T22:12:30Z,1,2,6
6,3254_003,2016-09-13T10:45:00Z,2016-09-21T10:27:00Z,-73.65698177500988,-74.22432095419167,-73.04159363486059,54.710361801501726,52.04307944597883,56.46415480036811,6,7.9875,Post-breeding migration,,2740-82914,NA,Setophaga,2016-06-14,15:48:00,2016-12-19,NA,2016-06-14,2016-12-19,,AHY,Adult,79,13.44,Male,striata,harness,64.82774,-163.71794,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,South,Yes,No,91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-23,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-12T04:00:00Z,NA,NA,1,NA,NA,2016-08-15 0:00,NA,2016-10-27,NA,NA,,,,,,Northwestern Region,Stopover,76060.74960229378,492151.8572093052,2016-08-17T07:23:00Z,NA,NA,0,2016-10-23T22:12:30Z,1,6,7
7,3254_003,2016-09-22T23:15:00Z,2016-09-25T10:56:36Z,-79.52762765833725,-79.53274889348094,-79.51325252643682,51.40841369146178,51.30544747729023,51.43200115170136,7,2.487222222222222,Post-breeding migration,,2740-82914,NA,Setophaga,2016-06-14,15:48:00,2016-12-19,NA,2016-06-14,2016-12-19,,AHY,Adult,79,13.44,Male,striata,harness,64.82774,-163.71794,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,South,Yes,No,91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-23,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-12T04:00:00Z,NA,NA,1,NA,NA,2016-08-15 0:00,NA,2016-10-27,NA,NA,,,,,,Northwestern Region,Stopover,1353.7727992352407,14087.890593464233,2016-08-17T07:23:00Z,NA,NA,0,2016-10-23T22:12:30Z,1,7,4
4,3254_003,2016-09-26T23:21:00Z,2016-10-01T23:13:00Z,-80.66217866649137,-80.76903244324134,-80.62106418548984,45.80795265846169,45.734083962062314,46.0349039909753,8,4.9944444444444445,Post-breeding migration,,2740-82914,NA,Setophaga,2016-06-14,15:48:00,2016-12-19,NA,2016-06-14,2016-12-19,,AHY,Adult,79,13.44,Male,striata,harness,64.82774,-163.71794,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,South,Yes,No,91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-23,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-12T04:00:00Z,NA,NA,1,NA,NA,2016-08-15 0:00,NA,2016-10-27,NA,NA,,,,,,Northwestern Region,Stopover,11481.889244767777,33487.13243901187,2016-08-17T07:23:00Z,NA,NA,0,2016-10-23T22:12:30Z,1,4,7
7,3254_003,2016-10-03T11:07:30Z,2016-10-21T22:21:40Z,-79.37628699586814,-79.37843730853561,-79.37433616888352,33.035640129465236,33.03110049678392,33.053162488618064,9,18.468171296296294,Post-breeding migration,,2740-82914,NA,Setophaga,2016-06-14,15:48:00,2016-12-19,NA,2016-06-14,2016-12-19,,AHY,Adult,79,13.44,Male,striata,harness,64.82774,-163.71794,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,South,Yes,No,91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-23,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-12T04:00:00Z,NA,NA,1,NA,NA,2016-08-15 0:00,NA,2016-10-27,NA,NA,,,,,,Northwestern Region,Stopover,382.72921633789684,2455.9296968624326,2016-08-17T07:23:00Z,NA,NA,0,2016-10-23T22:12:30Z,1,7,15
15,3254_003,2016-10-23T22:12:30Z,2016-12-20T10:00:25Z,-63.33115524672046,-63.470726034559405,-63.203055921295395,-0.3647872497444865,-1.0157945830131279,-0.06254425679450946,10,57.49160879629629,Non-breeding period,,2740-82914,NA,Setophaga,2016-06-14,15:48:00,2016-12-19,NA,2016-06-14,2016-12-19,,AHY,Adult,79,13.44,Male,striata,harness,64.82774,-163.71794,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,South,Yes,No,91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-23,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-12T04:00:00Z,NA,NA,1,NA,NA,2016-08-15 0:00,NA,2016-10-27,NA,NA,,,,,,Northwestern Region,Nonbreeding,29796.296796019058,106115.34091317852,2016-08-17T07:23:00Z,NA,1,0,2016-10-23T22:12:30Z,1,15,16
16,3254_003,NA,NA,-163.71321,-163.71794,-163.71794,64.82774,64.82774,64.82774,10,NA,Post-breeding migration,,2740-82914,NA,Setophaga,2016-06-14,15:48:00,2016-12-19,NA,2016-06-14,2016-12-19,,AHY,Adult,79,13.44,Male,striata,harness,64.82774,-163.71794,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,South,Yes,No,91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-23,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-12T04:00:00Z,NA,NA,1,NA,NA,2016-08-15 0:00,NA,2016-10-27,NA,NA,,,,,,Northwestern Region,Breeding,0,0,2016-08-17T07:23:00Z,NA,NA,0,NA,NA,16,NA
16,3254_008,2016-07-10T09:10:44Z,2016-07-11T09:41:14Z,-163.71321,-163.7117,-163.7117,64.82774,64.83017,64.83017,1,1.0211805555555555,Breeding,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Breeding,0,0,2016-08-25T06:44:59Z,NA,NA,0,NA,NA,16,1
1,3254_008,2016-08-28T13:36:45Z,2016-08-31T05:19:00Z,-145.02479450459083,-147.1246539180205,-143.0888272418384,65.92540845921056,64.91868990891642,67.18291233466186,3,2.6543402777777776,Post-breeding migration,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Stopover,183235.59462875224,252052.08747669286,2016-08-25T06:44:59Z,NA,NA,0,2016-10-26T22:02:03Z,1,1,7
7,3254_008,2016-09-20T10:55:37Z,2016-09-24T23:20:23Z,-78.14271685772766,-78.28614762833257,-77.99887176039076,43.10853480522164,42.183007004107395,43.403885935229155,5,4.517199074074074,Post-breeding migration,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Stopover,23346.887376912247,135907.6209327102,2016-08-25T06:44:59Z,NA,NA,0,2016-10-26T22:02:03Z,1,7,NA
7,3254_008,2016-09-26T10:53:09Z,2016-10-08T11:17:18Z,-78.11859252471677,-78.58840884830126,-77.70496959017292,35.25965058174249,33.99395101478996,39.27327203893864,6,12.016770833333332,Post-breeding migration,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Stopover,80301.97755997203,587691.3281424554,2016-08-25T06:44:59Z,NA,NA,0,2016-10-26T22:02:03Z,1,7,11
11,3254_008,2016-10-11T22:37:44Z,2016-10-18T10:13:01Z,-70.74159904347027,-71.86066300132293,-69.79290219502063,7.789141761500229,1.071013612907023,11.051988554771421,7,6.482835648148148,Post-breeding migration,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Stopover,228058.08748688363,1111077.0481487683,2016-08-25T06:44:59Z,NA,NA,0,2016-10-26T22:02:03Z,1,11,12
12,3254_008,2016-10-22T09:58:57Z,2016-10-25T09:51:18Z,-63.84442397615076,-65.96195944779996,-61.73330393112505,5.930316353171701,-1.5848459545970028,10.188682400578656,8,2.9946875,Post-breeding migration,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Stopover,468211.42310559587,1310623.1813383223,2016-08-25T06:44:59Z,NA,NA,0,2016-10-26T22:02:03Z,1,12,NA
12,3254_008,2016-10-26T22:02:03Z,2017-04-04T09:47:43Z,-58.295308885934304,-58.388109062941325,-58.18885644907768,1.241877718266384,0.7774843288064567,1.7007194745894851,9,159.4900462962963,Non-breeding period,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Nonbreeding,22175.48947422682,102774.06631102043,2016-08-25T06:44:59Z,NA,1,0,2016-10-26T22:02:03Z,1,12,16
