cluster,next.cluster,geo_id,StartTime,EndTime,Lon.50.,Lon.2.5.,Lon.97.5.,Lat.50.,Lat.2.5.,Lat.97.5.,sitenum,duration,period,geo.id2,band.id,animal.id,animal.taxon,deploy.on.date,deploy.on.time_GMT,deploy.off.date,deploy.off.time,lig.estimated.deploy.day,lig.estimated.recovery.day,animal.latest.date.born,animal.life.stage,Age.status,Wing.cord.mm,animal.mass,animal.sex,animal.taxon.detail,attachment.type,deploy.latitude,deploy.longitude,recovery.latitude,recovery.longitude,deployment.comments,deployment.end.type,manipulation.type,study.site,deploy.range,tag.comments,study.site.specification,tag.manufacturer.name,tag.mass,tag.model,tag.readout.method,tag.serial.no,Study,preliminary_analysis,recording_interval_seconds,light_threshold,Time_shift_hours,Recorded_North_South_mig,Light_Data_Available,Time_shift,In_habitat_median_zenith_angle,Hill_Ekstrom_median_angle,tol,MCMC.iter,MCMC.thin,MCMC.chains,changeLight.days,changelight.quantile,mergesites.distance,stat.nbr.limit,path.elongated,Insert_twilights,Range_region,Fall_carrib_edits,Clock_drift_edits,mod.deploy.lon,mod.deploy.lat,nbr.arrival,nbr.departure,spring.equinox.year,spring.equinox.date,Recaptured,IH.calib.start,IH.calib.end,IH.calib.start2,IH.calib.end2,Zenith0_adjustment,br.departure,br.arrival,br.departure.woodsworth,br.arrival.woodsworth,nbr.arrival.woodsworth,nbr.departure.woodsworth,X,First.trans.flight.start,first.trans.flight.start,First.trans.flight.start.1,first.trans.flight.start.1,light.review.quality,Breeding_region_MC,site_type,IQR.lon.dist,IQR.lat.dist,fall.br.departure,spring.br.arrival,NB_count,year.difference,NB.last.site.arrival,sorted.num
8,6,3254_008,2017-04-20T23:35:14Z,2017-04-23T00:02:44Z,-80.07811513162454,-81.87032419226753,-79.0243097799228,22.37842251314655,21.763260320716284,23.008943949401885,11,2.0190972222222223,Pre-breeding migration,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Stopover,292952.86462647736,138668.86723479824,2016-08-25T06:44:59Z,NA,NA,0,2016-10-26T22:02:03Z,8
6,5,3254_008,2017-04-24T10:44:03Z,2017-04-28T10:38:16Z,-84.01889511705548,-85.81054367967081,-82.43716193602104,31.173923874141824,29.898900637310827,34.62886856407995,12,3.9959837962962963,Pre-breeding migration,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Stopover,321285.1340251596,526537.6210764551,2016-08-25T06:44:59Z,NA,NA,0,2016-10-26T22:02:03Z,6
5,NA,3254_008,2017-04-30T11:13:17Z,2017-05-04T11:16:08Z,-90.49072287774732,-92.70161053270068,-89.01332629645202,33.685969085531866,32.06968961989314,36.528495601194315,13,4.001979166666667,Pre-breeding migration,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Stopover,341619.62100854353,496352.0113844488,2016-08-25T06:44:59Z,NA,NA,0,2016-10-26T22:02:03Z,5
5,13,3254_008,2017-05-06T01:25:22Z,2017-05-12T01:02:50Z,-92.0761834986281,-93.27534651822089,-90.78171790647062,36.1832473502648,34.61285961111927,38.45103869601958,14,5.9843518518518515,Pre-breeding migration,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Stopover,224045.44569223764,427264.1413044954,2016-08-25T06:44:59Z,NA,NA,0,2016-10-26T22:02:03Z,5
13,NA,3254_008,2017-05-28T06:32:55Z,2017-05-29T08:36:56Z,-163.71321,-163.7117,-163.7117,64.82774,64.83017,64.83017,15,1.086122685185185,Pre-breeding migration,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Breeding,0,0,2016-08-25T06:44:59Z,NA,NA,0,NA,13
13,11,3254_057,NA,NA,-163.71321,-165.28943,-165.28943,64.82774,64.6375,64.6375,1,NA,Pre-breeding migration,,2740-82921,NA,Setophaga,2016-06-15,11:40:00,2017-06-07,NA,2016-06-15,2017-06-07,,AHY,Adult,76,13.35,Male,striata,harness,64.6375,-165.28943,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,91.7757113871658,93,0.12,1000,20,3,2,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,NA,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2.5,2016-08-23,2017-06-01,2016-08-22,2017-06-04,2016-10-29,2017-04-02,NA,,,,,,Northwestern Region,Breeding,0,0,2016-07-13T12:01:12Z,NA,NA,0,NA,13
11,6,3254_057,2016-10-17T22:21:06Z,2017-04-16T22:37:52Z,-63.374898968086775,-63.45393903615553,-63.33658135270535,2.5539017771124017,2.149013358433284,2.735104867894834,8,181.0116435185185,Non-breeding period,,2740-82921,NA,Setophaga,2016-06-15,11:40:00,2017-06-07,NA,2016-06-15,2017-06-07,,AHY,Adult,76,13.35,Male,striata,harness,64.6375,-165.28943,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,91.7757113871658,93,0.12,1000,20,3,2,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,NA,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2.5,2016-08-23,2017-06-01,2016-08-22,2017-06-04,2016-10-29,2017-04-02,NA,,,,,,Northwestern Region,Nonbreeding,13051.221464741788,65243.40839152085,2016-07-13T12:01:12Z,NA,1,0,2016-10-17T22:21:06Z,11
6,5,3254_057,2017-04-21T10:33:59Z,2017-04-27T10:50:10Z,-84.27671860346695,-85.68485942489647,-83.17782331423038,32.36060188196174,30.403942292724807,35.42778237827779,9,6.011238425925925,Pre-breeding migration,,2740-82921,NA,Setophaga,2016-06-15,11:40:00,2017-06-07,NA,2016-06-15,2017-06-07,,AHY,Adult,76,13.35,Male,striata,harness,64.6375,-165.28943,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,91.7757113871658,93,0.12,1000,20,3,2,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,NA,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2.5,2016-08-23,2017-06-01,2016-08-22,2017-06-04,2016-10-29,2017-04-02,NA,,,,,,Northwestern Region,Stopover,235734.09528258562,559251.3201505938,2016-07-13T12:01:12Z,NA,NA,0,2016-10-17T22:21:06Z,6
5,1,3254_057,2017-04-30T11:18:56Z,2017-05-10T01:12:58Z,-91.54951784359683,-93.2561019633716,-90.53613834701522,33.99676472650248,33.12096043404773,35.375323235087734,10,9.579189814814814,Pre-breeding migration,,2740-82921,NA,Setophaga,2016-06-15,11:40:00,2017-06-07,NA,2016-06-15,2017-06-07,,AHY,Adult,76,13.35,Male,striata,harness,64.6375,-165.28943,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,91.7757113871658,93,0.12,1000,20,3,2,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,NA,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2.5,2016-08-23,2017-06-01,2016-08-22,2017-06-04,2016-10-29,2017-04-02,NA,,,,,,Northwestern Region,Stopover,251022.3016626402,250954.51907507083,2016-07-13T12:01:12Z,NA,NA,0,2016-10-17T22:21:06Z,5
1,13,3254_057,2017-05-13T11:24:29Z,2017-05-16T11:21:42Z,-113.75461209304686,-114.99300158313346,-111.74267822595158,49.51218559875019,48.474478870331865,51.15196844273637,11,2.9980770502653384,Pre-breeding migration,,2740-82921,NA,Setophaga,2016-06-15,11:40:00,2017-06-07,NA,2016-06-15,2017-06-07,,AHY,Adult,76,13.35,Male,striata,harness,64.6375,-165.28943,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,91.7757113871658,93,0.12,1000,20,3,2,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,NA,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2.5,2016-08-23,2017-06-01,2016-08-22,2017-06-04,2016-10-29,2017-04-02,NA,,,,,,Northwestern Region,Stopover,234909.3684143378,298056.77580436895,2016-07-13T12:01:12Z,NA,NA,0,2016-10-17T22:21:06Z,1
13,NA,3254_057,2017-05-25T07:13:02Z,2017-05-26T11:24:32Z,-163.71321,-165.28943,-165.28943,64.82774,64.6375,64.6375,12,1.1746527777777778,Pre-breeding migration,,2740-82921,NA,Setophaga,2016-06-15,11:40:00,2017-06-07,NA,2016-06-15,2017-06-07,,AHY,Adult,76,13.35,Male,striata,harness,64.6375,-165.28943,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,91.7757113871658,93,0.12,1000,20,3,2,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,NA,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2.5,2016-08-23,2017-06-01,2016-08-22,2017-06-04,2016-10-29,2017-04-02,NA,,,,,,Northwestern Region,Breeding,0,0,2016-07-13T12:01:12Z,NA,NA,0,NA,13
14,11,4068_014,NA,NA,-149.416795,-149.42917,-149.42917,63.722625,63.72073,63.72073,1,NA,Pre-breeding migration,,1760-53551,NA,Setophaga,2016-06-05,12:01:00,2017-06-03,NA,2016-06-05,2017-06-03,,NA,NA,NA,NA,Male,striata,harness,63.72073,-149.42917,NA,NA,,,,"Denali, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,Yes ,120,NA,NA,Both,Yes,No,91.5145394189879,91.75,0.1,1000,20,3,2,0.86,250,14,FALSE,No,Western,FALSE,FALSE,-149.416795,63.722625,2016-10-12,2017-04-19,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-18,2017-05-29,2016-08-19,2017-05-28,2016-10-26,2017-04-19,NA,,,,,,Northwestern Region,Breeding,0,0,2016-08-19T06:14:38Z,2017-06-04T08:59:59Z,NA,0,NA,14
11,3,4068_014,2016-10-12T10:15:02Z,2017-04-19T09:57:36Z,-62.853349657020445,-63.10533042539604,-62.63567255384711,3.4703238477086926,2.134436668396966,4.746077872489044,8,188.98789351851852,Non-breeding period,,1760-53551,NA,Setophaga,2016-06-05,12:01:00,2017-06-03,NA,2016-06-05,2017-06-03,,NA,NA,NA,NA,Male,striata,harness,63.72073,-149.42917,NA,NA,,,,"Denali, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,Yes ,120,NA,NA,Both,Yes,No,91.5145394189879,91.75,0.1,1000,20,3,2,0.86,250,14,FALSE,No,Western,FALSE,FALSE,-149.416795,63.722625,2016-10-12,2017-04-19,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-18,2017-05-29,2016-08-19,2017-05-28,2016-10-26,2017-04-19,NA,,,,,,Northwestern Region,Nonbreeding,52186.20411674567,290726.568974262,2016-08-19T06:14:38Z,2017-06-04T08:59:59Z,1,0,2016-10-12T10:15:02Z,11
3,2,4068_014,2017-04-27T10:47:17Z,2017-05-01T10:51:53Z,-86.85409579780418,-89.98778804264134,-83.84633572288396,37.007445315231095,32.379874278011584,41.89715152630114,9,4.0031944444444445,Pre-breeding migration,,1760-53551,NA,Setophaga,2016-06-05,12:01:00,2017-06-03,NA,2016-06-05,2017-06-03,,NA,NA,NA,NA,Male,striata,harness,63.72073,-149.42917,NA,NA,,,,"Denali, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,Yes ,120,NA,NA,Both,Yes,No,91.5145394189879,91.75,0.1,1000,20,3,2,0.86,250,14,FALSE,No,Western,FALSE,FALSE,-149.416795,63.722625,2016-10-12,2017-04-19,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-18,2017-05-29,2016-08-19,2017-05-28,2016-10-26,2017-04-19,NA,,,,,,Northwestern Region,Stopover,545849.5993312461,1059458.4570180008,2016-08-19T06:14:38Z,2017-06-04T08:59:59Z,NA,0,2016-10-12T10:15:02Z,3
